Name|SuperclassName|IsImplementation|ThisClass|Superclass|FieldsTableName|MethodsTableName|PropertiesTableName|ConstantsTableName
2(global/Fibonacci)|3(rtl/NSObject)|true|4|5|emptyTable|global/Fibonacci_MethodsTable.csv|emptyTable|global/Fibonacci_ConstantsTable.csv
2(global/MyClass)|3(rtl/NSObject)|true|4|5|emptyTable|global/MyClass_MethodsTable.csv|emptyTable|global/MyClass_ConstantsTable.csv
2(global/MyClass1)|3(rtl/NSObject)|true|4|5|emptyTable|global/MyClass1_MethodsTable.csv|emptyTable|global/MyClass1_ConstantsTable.csv
2(global/MyClass10)|3(rtl/NSObject)|true|4|5|global/MyClass10_FieldsTable.csv|global/MyClass10_MethodsTable.csv|emptyTable|global/MyClass10_ConstantsTable.csv
2(global/MyClass2)|3(global/MyClass1)|true|4|5|emptyTable|global/MyClass2_MethodsTable.csv|emptyTable|global/MyClass2_ConstantsTable.csv
2(global/MyClass3)|3(rtl/NSObject)|true|4|5|emptyTable|global/MyClass3_MethodsTable.csv|emptyTable|global/MyClass3_ConstantsTable.csv
2(global/MyClass4)|3(rtl/NSObject)|true|4|5|global/MyClass4_FieldsTable.csv|global/MyClass4_MethodsTable.csv|emptyTable|global/MyClass4_ConstantsTable.csv
2(global/MyClass5)|3(global/MyClass4)|true|4|5|emptyTable|global/MyClass5_MethodsTable.csv|emptyTable|global/MyClass5_ConstantsTable.csv
2(global/MyClass6)|3(rtl/NSObject)|true|4|5|global/MyClass6_FieldsTable.csv|global/MyClass6_MethodsTable.csv|emptyTable|global/MyClass6_ConstantsTable.csv
2(global/MyClass7)|3(rtl/NSObject)|true|4|5|emptyTable|global/MyClass7_MethodsTable.csv|emptyTable|global/MyClass7_ConstantsTable.csv
2(global/MyClass8)|3(global/MyClass7)|true|4|5|emptyTable|global/MyClass8_MethodsTable.csv|emptyTable|global/MyClass8_ConstantsTable.csv
2(global/MyClass9)|3(global/MyClass7)|true|4|5|emptyTable|global/MyClass9_MethodsTable.csv|emptyTable|global/MyClass9_ConstantsTable.csv
2(global/Test)|3(rtl/NSObject)|true|4|5|emptyTable|global/Test_MethodsTable.csv|emptyTable|global/Test_ConstantsTable.csv
2(rtl/!Program!)|196(java/lang/Object)|true|3|197|emptyTable|rtl/!Program!_MethodsTable.csv|emptyTable|rtl/!Program!_ConstantsTable.csv
2(rtl/InOutFuncs)|26(java/lang/Object)|true|3|27|emptyTable|rtl/InOutFuncs_MethodsTable.csv|emptyTable|rtl/InOutFuncs_ConstantsTable.csv
2(rtl/NSArray)|3(rtl/NSObject)|true|4|5|emptyTable|rtl/NSArray_MethodsTable.csv|emptyTable|rtl/NSArray_ConstantsTable.csv
2(rtl/NSObject)|21(java/lang/Object)|true|3|22|emptyTable|rtl/NSObject_MethodsTable.csv|emptyTable|rtl/NSObject_ConstantsTable.csv
2(rtl/NSString)|3(rtl/NSObject)|true|4|5|emptyTable|rtl/NSString_MethodsTable.csv|emptyTable|rtl/NSString_ConstantsTable.csv
